,Title,Author(s),Number in Series,Series Title,Length of Series,Publication Month,Publication Day,Publication Year,Number of Pages,Genres,Similar Books,Rating,Number of Ratings,Number of 5-Star Ratings,Number of 4-Star Ratings,Number of 3-Star Ratings,Number of 2-Star Ratings,Number of 1-Star Ratings,Number of Reviews,Cover Image Tag,Synopsis
121,Ella Minnow Pea: A Novel in Letters,Mark Dunn,,,,October,1,2001,208,"Fiction, Humor, Fantasy, Young Adult, Dystopia, Contemporary, Adult, Adult Fiction, Language, Book Club","The Wobbit: A Parody (Of Tolkien's The Hobbit) by Paul A. Erickson,, Making Comics by Lynda Barry,, Average is the New Awesome: A Manifesto for the Rest of Us by Samantha Matt,, Callan (Outback Shifters, #2) by Zoe Chant,, Moving Forward: A Story of Hope, Hard Work, and the Promise of America by Karine Jean-Pierre,, The Mute Swan by Cameron Jace,, De val van Jakob Duikelman by Anne-Marieke Samson,, The Body Under the Piano (Aggie Morton, Mystery Queen, #1) by Marthe Jocelyn,, The Hidden Oracle / The Dark Prophecy / The Burning Maze / The Tyrant’s Tomb (The Trials of Apollo #1-4) by Rick Riordan,, Rick riordan Trials of apollo and Magnus chase collection 6 books set by Rick Riordan,, I Wish My Kids Had Cancer: A Family Surviving the Autism Epidemic by Michael Alan,, Pew by Catherine Lacey,, The Shakespeare Reader by William Shakespeare,, Happy Like This by Ashley Wurzbacher,, Jeffy, the Burglar's Cat by Ursula Moray Williams,, How to Land on Your Feet: Life Lessons from My Cat by Jamie Shelman,, The Easter Egg Artists by Adrienne Adams,, Sing a Song: How ""Lift Every Voice and Sing"" Inspired Generations by Kelly Starling Lyons",3.90,39092,11752,15278,9031,2321,710,6718,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479697890l/16200._SY475_.jpg,"Ella Minnow Pea is a girl living happily on the fictional island of Nollop off the coast of South Carolina. Nollop was named after Nevin Nollop, author of the immortal pangram,* ""The quick brown fox jumps over the lazy dog."" Now Ella finds herself acting to save her friends, family, and fellow citizens from the encroaching totalitarianism of the island's Council, which has"
122,Elmer Gantry,Sinclair Lewis,,,,,19,1927,352,"Fiction, Classics, Religion, Literature, Historical Fiction, American, Novels, 20th Century, Nobel Prize, Literary Fiction","Oil! by Upton Sinclair,, McTeague by Frank Norris,, Mukiwa: A White Boy in Africa by Peter Godwin,, The Naked and the Dead by Norman Mailer,, Alice Adams by Booth Tarkington,, How Green Was My Valley by Richard Llewellyn,, Cimarron by Edna Ferber,, Ironweed by William  Kennedy,, Hitler's Willing Executioners: Ordinary Germans and the Holocaust by Daniel Jonah Goldhagen,, The Memoirs of Elias Canetti: The Tongue Set Free/The Torch in My Ear/The Play of the Eyes by Elias Canetti,, Man and Superman by George Bernard Shaw,, The Duke's Children (Palliser, #6) by Anthony Trollope,, The Solid Mandala by Patrick White,, The Adventures of Augie March by Saul Bellow,, The Bridge of San Luis Rey by Thornton Wilder,, The Hamlet by William Faulkner,, Chronicles of the Crusades by Jean de Joinville,, Cat's Cradle/God Bless You Mr. Rosewater/Breakfast of Champions by Kurt Vonnegut Jr.",4.00,5371,1773,2188,1110,227,73,533,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925217l/11378.jpg,"Universally recognized as a landmark in American literature,Elmer Gantryscandalized readers when it was first published, causing Sinclair Lewis to be ""invited"" to a jail cell in New Hampshire and to his own lynching in Virginia. His portrait of a golden-tongued evangelist who rises to power within his church--a saver of souls who lives a life of duplicity, sensuality, an"
123,Eloise at The Plaza,Kay Thompson,,,,August,25,2015,26,"Picture Books, Childrens, Humor","ブルーピリオド 1 (Blue Period., #1) by Tsubasa Yamaguchi,, Time Is a Mother by Ocean Vuong,, ブルーピリオド 8 (Blue Period., #8) by Tsubasa Yamaguchi,, ブルーピリオド 3 (Blue Period., #3) by Tsubasa Yamaguchi,, ブルーピリオド 5 (Blue Period., #5) by Tsubasa Yamaguchi,, ブルーピリオド 9 (Blue Period, #9) by Tsubasa Yamaguchi,, ブルーピリオド 7 (Blue Period., #7) by Tsubasa Yamaguchi,, ブルーピリオド 10 (Blue Period., #10) by Tsubasa Yamaguchi,, ブルーピリオド 6 (Blue Period., #6) by Tsubasa Yamaguchi,, ブルーピリオド 4 (Blue Period., #4) by Tsubasa Yamaguchi,, ブルーピリオド 2 (Blue Period., #2) by Tsubasa Yamaguchi,, Let Me Be Frank: A Book About Women Who Dressed Like Men to Do Shit They Weren't Supposed to Do by Tracy  Dawson,, Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life by Ali Wong,, What My Bones Know: A Memoir of Healing from Complex Trauma by Stephanie Foo,, Hogfather (Discworld, #20; Death, #4) by Terry Pratchett,, Dearly by Margaret Atwood,, Pet'a Shows Misun the Light by Jessie Rencountre",4.03,104,47,27,19,8,3,11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440378188l/24885547._SX318_.jpg,"For the first time ever, Eloise and her friends are in a board book story adapted from the original classic. How Marvelous!Eloise is a very special—and very precocious—six-year-old girl who lives at The Plaza Hotel in New York City. She may not be pretty yet, but she’s definitely already a real Person. Join Eloise and experience her fabulous life in the famous Plaza Hotel."
124,The Lost Days,"Rob Reger, Jessica Gruner",1,Emily the Strange,4,November,21,2002,266,"Young Adult, Fantasy, Mystery, Fiction, Graphic Novels, Middle Grade, Teen, Humor, Adventure, Comics","Ghostgirl (Ghostgirl, #1) by Tonya Hurley,, Bel: Amor más allá de la muerte by Care Santos,, Homecoming (Ghostgirl, #2) by Tonya Hurley,, Flying High (Angels Unlimited, #3) by Annie Dalton,, How to Say Goodbye in Robot by Natalie Standiford,, Stāsts par Tilli un Suņu vīru by Andra Neiburga,, Warriors: Secrets of the Clans by Erin Hunter,, Ranma ½, Vol. 2 by Rumiko Takahashi,, Ranma ½, Vol. 6 (Ranma ½ (US 2nd), #6) by Rumiko Takahashi,, Genealogía de una bruja by Benjamin Lacombe,, Carnage (Anna Caritas, #4) by Patrick Isabelle,, In Wahrheit wird viel mehr gelogen by Kerstin Gier,, Banana Fish, Vol. 2 by Akimi Yoshida,, Boring Girls by Sara  Taylor,, Seide und Schwert (Wolkenvolk-Trilogie, #1) by Kai Meyer,, Lost at Sea by Bryan Lee O\'Malley,, Cilvēkam vajag suni by Regīna Ezera,, Lovesick (Ghostgirl, #3) by Tonya Hurley",3.90,6435,2177,2154,1543,410,151,608,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330954563l/5355769.jpg,"13 Elements you will find in the first Emily the Strange novel:1. Mystery2. A beautiful golem3. Souped-up slingshots4. Four black cats5. Amnesia6. Calamity Poker7. Angry ponies8. A shady truant officer9. Top-13 lists10. A sandstorm generator11. DoppelgAngers12. A secret mission13. EarwigsEmily the Strange: 13 years old. Able to leap tall buildings, probably, if she felt l"
125,Emma,Jane Austen,,,,December,23,1815,474,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Audiobook, 19th Century, Classic Literature, Novels","Jane Eyre by Charlotte Brontë,, Wuthering Heights by Emily Brontë,, Little Women by Louisa May Alcott,, The Picture of Dorian Gray by Oscar Wilde,, Romeo and Juliet by William Shakespeare,, Great Expectations by Charles Dickens,, Anna Karenina by Leo Tolstoy,, Anne of Green Gables (Anne of Green Gables, #1) by L.M. Montgomery,, The Great Gatsby by F. Scott Fitzgerald,, Frankenstein: The 1818 Text by Mary Wollstonecraft Shelley,, A Tale of Two Cities by Charles Dickens,, North and South by Elizabeth Gaskell,, The Secret Garden by Frances Hodgson Burnett,, Tess of the D'Urbervilles by Thomas Hardy,, Persuasion by Jane Austen by Judy Simons,, The Scarlet Letter by Nathaniel Hawthorne,, The Adventures of Tom Sawyer by Mark Twain,, The Tenant of Wildfell Hall by Anne Brontë",4.03,761801,292941,269307,146407,36653,16493,24493,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373627931l/6969.jpg,"An alternative cover of this ISBN can be foundhere.Emma Woodhouse is one of Austen's most captivating and vivid characters. Beautiful, spoilt, vain and irrepressibly witty, Emma organizes the lives of the inhabitants of her sleepy little village and plays matchmaker with devastating effect."
126,Empire Falls,Richard Russo,,,,May,8,2001,483,"Fiction, Contemporary, Literary Fiction, Novels, Literature, Book Club, Adult Fiction, Adult, American, Audiobook","The Shipping News by Annie Proulx,, A Thousand Acres by Jane Smiley,, The Amazing Adventures of Kavalier & Clay by Michael Chabon,, The Corrections by Jonathan Franzen,, The Known World by Edward P. Jones,, The Brief Wondrous Life of Oscar Wao by Junot Díaz,, Middlesex by Jeffrey Eugenides,, Independence Day by Richard Ford,, The Cider House Rules by John Irving,, Breathing Lessons by Anne Tyler,, The Stone Diaries by Carol Shields,, Martin Dressler: The Tale of an American Dreamer by Steven Millhauser,, Gilead by Marilynne Robinson,, Interpreter of Maladies by Jhumpa Lahiri,, Ironweed by William  Kennedy,, The Mambo Kings Play Songs of Love by Oscar Hijuelos,, A Visit from the Goon Squad by Jennifer Egan,, Rabbit at Rest (Rabbit Angstrom, #4) by John Updike",3.92,117660,36157,47375,25333,6503,2292,4741,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403184884l/187020.jpg,"Welcome to Empire Falls, a blue-collar town full of abandoned mills whose citizens surround themselves with the comforts and feuds provided by lifelong friends and neighbors and who find humor and hope in the most unlikely places, in this Pulitzer Prize-winning novel by Richard Russo.Miles Roby has been slinging burgers at the Empire Grill for 20 years, a job that cost him"
127,"Encyclopedia Brown, Boy Detective",Donald J. Sobol,1,Encyclopedia Brown,28,,19,1963,128,"Mystery, Childrens, Fiction, Young Adult, Middle Grade, Chapter Books, Juvenile, Classics, Short Stories, Realistic Fiction","Eloise by Kay Thompson,, The Boxcar Children (The Boxcar Children, #1) by Gertrude Chandler Warner,, The Littles by John Lawrence Peterson,, Nate the Great by Marjorie Weinman Sharmat,, The Mystery of the Stolen Diamonds (Cam Jansen Mysteries, #1) by David A. Adler,, The Mouse and the Motorcycle (Ralph S. Mouse, #1) by Beverly Cleary,, Henry Huggins (Henry Huggins, #1) by Beverly Cleary,, Henry and Mudge - The First Book (Henry and Mudge, #1) by Cynthia Rylant,, The Goose's Gold (A to Z Mysteries, #7) by Ron Roy,, Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1) by Betty MacDonald,, Attack at the Arena (Imagination Station, #2) by Marianne Hering,, George W. Bushisms: The Slate Book of Accidental Wit and Wisdom of Our 43rd President by Jacob Weisberg,, The Boxcar Children Beginning: The Aldens of Fair Meadow Farm (The Boxcar Children, #0.5) by Patricia MacLachlan,, Classic Starts: 20,000 Leagues Under the Sea by Lisa Church,, Voyage with the Vikings (Imagination Station, #1) by Marianne Hering,, The Mystery of the Television Dog (Cam Jansen Mysteries, #4) by David A. Adler,, The Great Brain (Great Brain, #1) by John D. Fitzgerald,, The Mystery of the Circus Clown (Cam Jansen Mysteries, #7) by David A. Adler",4.04,39114,15566,12716,8461,1588,783,800,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298650085l/789344.jpg,A Civil War sword...A watermelon stabbing...Missing roller skates...A trapeze artist's inheritance...And an eyewitness who's legally blind!Theses are just some of the ten brain-twisting mysteries that Encyclopedia Brown must solve by using his famous computerlike brain. Try to crack the cases along with him--the answer to all the mysteries are found in the back!
128,Essentials of Economics,Bradley R. Schiller,,,,January,1,2002,383,"Economics, Nonfiction, Textbooks, School","Understanding Business by William G. Nickels,, The Deal (Off-Campus, #1) by Elle Kennedy,, Last Night at the Telegraph Club by Malinda Lo,, Genius Makers: The Mavericks Who Brought AI to Google, Facebook, and the World by Cade Metz,, Curvy Girls Can't Date Quarterbacks (The Curvy Girls Club #1) by Kelsie Stelting,, The Perfect First (Fulton U, #1) by Maya Hughes,, Blindsided (Harris Brothers World #2) by Amy Daws,, Enemies With Benefits (Loveless Brothers #1) by Roxie Noir,, The Nerd & the Quarterback (Jackson High #1) by M.L. Collins,, I Dare You (Waylon University, #1) by Ilsa Madden-Mills,, The Second We Met (Fulton U, #2) by Maya Hughes,, The Boy Who Harnessed the Wind: Creating Currents of Electricity and Hope by William Kamkwamba,, Driving my Billionaire Boss (The Naughty Streets of Waitesville Book 1) by Annie Ford,, One Hot Night (Caught, #1.5) by Kacey Shea,, The Third Best Thing (Fulton U, #3) by Maya Hughes,, Pani Jeziora (Saga o Wiedźminie, #5) by Andrzej Sapkowski,, Only for a Night (Lick, #1) by Naima Simone,, By the Book (Meant to Be #2) by Jasmine Guillory",3.43,89,23,19,29,9,9,8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347536908l/7647987.jpg,
129,Ethan Frome,Edith Wharton,,,,,19,1911,99,"Classics, Fiction, Literature, School, Romance, Historical Fiction, American, Novels, High School, Read For School","The Awakening by Kate Chopin,, Daisy Miller by Henry James,, My Ántonia (Great Plains Trilogy, #3) by Willa Cather,, Silas Marner by George Eliot,, The Scarlet Letter by Nathaniel Hawthorne,, The Glass Menagerie by Tennessee Williams,, The Crucible by Arthur  Miller,, The Turn of the Screw by Henry James,, A Room with a View by E.M. Forster,, Washington Square by Henry James,, The American Pageant by David Kennedy,, O Pioneers! (Great Plains Trilogy, #1) by Willa Cather,, The Red Badge of Courage by Stephen Crane,, The Yellow Wall-Paper by Charlotte Perkins Gilman,, Their Eyes Were Watching God by Zora Neale Hurston,, The Pearl by John Steinbeck,, As I Lay Dying by William Faulkner,, Death of a Salesman by Arthur  Miller",3.42,117560,24161,35522,33262,15208,9407,6213,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630481181l/5246._SY475_.jpg,"The classic novel of despair, forbidden emotions, and sexual undercurrents set against the austere New England countrysideEthan Frome works his unproductive farm and struggles to maintain a bearable existence with his difficult, suspicious and hypochondriac wife, Zeena. But when Zeena's vivacious cousin enters their household as a hired girl, Ethan finds himself obsessed w"
130,Ethics,Baruch Spinoza,,,,,16,1677,186,"Philosophy, Nonfiction, Classics, Religion, Psychology, Theory, 17th Century, Jewish, Metaphysics, Politics","Spinoza: Practical Philosophy by Gilles Deleuze,, An Essay Concerning Human Understanding by John Locke,, Metaphysics by Aristotle,, An Enquiry Concerning Human Understanding by David Hume,, Critique of Pure Reason by Immanuel Kant,, Meditations on First Philosophy by René Descartes,, On the Genealogy of Morals by Friedrich Nietzsche,, Phenomenology of Spirit by Georg Wilhelm Friedrich Hegel,, Prolegomena to Any Future Metaphysics by Immanuel Kant,, Critique of Practical Reason by Immanuel Kant,, Tractatus Logico-Philosophicus by Ludwig Wittgenstein,, Being and Time by Martin Heidegger,, Discourse on Metaphysics and Other Essays by Gottfried Wilhelm Leibniz,, Discourse on Method and Meditations on First Philosophy by René Descartes,, Three Dialogues Between Hylas and Philonous by George Berkeley,, The Nicomachean Ethics by Aristotle,, Beyond Good and Evil by Friedrich Nietzsche,, Philosophical Investigations by Ludwig Wittgenstein",4.08,15279,6640,4647,2894,794,304,576,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462223700l/205218.jpg,"Published shortly after his death, the Ethics is undoubtedly Spinoza's greatest work - an elegant, fully cohesive cosmology derived from first principles, providing a coherent picture of reality, and a guide to the meaning of an ethical life. Following a logical step-by-step format, it defines in turn the nature of God, the mind, the emotions, human bondage to the emotions"
131,Rick Steves' Europe Through the Back Door 2015: The Travel Skills Handbook,Rick Steves,,,,January,19,1982,792,"Travel, Nonfiction, Reference, History, Self Help, Germany, Adult, Adventure, Guidebook, How To","1,000 Places to See Before You Die by Patricia Schultz,, The Travel Book: A Journey Through Every Country in the World by Roz Hopkins,, Atlas Obscura: An Explorer's Guide to the World's Hidden Wonders by Joshua Foer,, A Year in Provence by Peter Mayle,, A Beginner's Guide to Living in an RV: Everything I Wish I Knew Before Full-Time RVing Across America by Alyssa Padgett,, Spectacle: The Astonishing Life of Ota Benga by Pamela Newkirk,, Flowers from Berlin by Noel Hynd,, The Magdalene Deception (The Magdalene Chronicles #1) by Gary McAvoy,, First Raise A Flag: How South Sudan Won the Longest War but Lost the Peace by Peter Martell,, Tracks: A Woman's Solo Trek Across 1700 Miles of Australian Outback by Robyn Davidson,, The Cartographers by Peng Shepherd,, Toujours Provence by Peter Mayle,, Be a Triangle: How I Went from Being Lost to Getting My Life Into Shape by Lilly Singh,, Uncanny X-Force, Volume 1: The Apocalypse Solution by Rick Remender,, Brothers in Battle, Best of Friends: Two WWII Paratroopers from the Original Band of Brothers Tell Their Story by William Guarnere,, Freezing Order: A True Story of Money Laundering, Murder, and Surviving Vladimir Putin's Wrath by Bill Browder,, Under the Tuscan Sun by Frances Mayes,, The Temporary European: Lessons and Confessions of a Professional Traveler by Cameron Hewitt",4.26,5327,2542,1867,744,110,64,196,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442138012l/23280114._SY475_.jpg,"You can count on Rick Steves to tell you what youreallyneed to know when traveling through Europe, including how to:Plan your itinerary and maximize your timePack light—and rightFind good-value hotels and restaurantsTravel smoothly by train, bus, car, and planeAvoid crowds and tourist scamsHurdle the language barrierUnderstand cultural differences and connect with locals"
132,Eva Luna,Isabel Allende,,,,,19,1987,307,"Fiction, Magical Realism, Historical Fiction, Classics, Romance, Spanish Literature, Latin American, Novels, Literature, Literary Fiction","One Hundred Years of Solitude by Gabriel García Márquez,, Οι αναλφάβητοι του έρωτα by Eva Omiroli,, Like Water for Chocolate by Laura Esquivel,, Love in the Time of Cholera by Gabriel García Márquez,, Corpi estranei by Oiza Queens Day Obasuyi,, La casa de los espíritus II by Isabel Allende,, Chronicle of a Death Foretold by Gabriel García Márquez,, Estrategias del Deseo by Cristina Peri Rossi,, Of Love and Other Demons by Gabriel García Márquez,, Fin del verano by Chika Sagawa,, Los cuadernos de don Rigoberto (Primer capítulo) by Mario Vargas Llosa,, La zia marchesa by Simonetta Agnello Hornby,, Philadelphia by Christopher  Davis,, Orestea by Aeschylus,, Οι παραχαράκτες της ευτυχίας by Eva Omiroli,, Eva by Marianne Fredriksson",3.99,45984,14614,18795,10370,1822,383,1836,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478631242l/149196._SY475_.jpg,"Meet New York Times bestselling author Isabel Allende’s most enchanting creation,Eva Luna: a lover, a writer, a revolutionary, and above all a storyteller—available for the first time in ebook.Eva Luna is the daughter of a professor’s assistant and a snake-bitten gardener—born poor, orphaned at an early age, and working as a servant. Eva is a naturally gifted and imaginat"
133,Everything Is Illuminated,Jonathan Safran Foer,,,,April,16,2002,276,,"The Corrections by Jonathan Franzen,, A Heartbreaking Work of Staggering Genius by Dave Eggers,, The History of Love by Nicole Krauss,, The Brief Wondrous Life of Oscar Wao by Junot Díaz,, Freedom by Jonathan Franzen,, Extremely Loud and Incredibly Close by Jonathan Safran Foer Summary & Guide by BookRags,, The Amazing Adventures of Kavalier & Clay by Michael Chabon,, You Shall Know Our Velocity! by Dave Eggers,, Middlesex by Jeffrey Eugenides,, Lezioni di tenebra by Helena Janeczek,, White Teeth by Zadie Smith,, Purity by Jonathan Franzen,, Dzielnica cudów. Nasz PRL, lata 80 by Norbert Grzegorz Kościesza,, Taart ende Koeck by Maartje Borst,, Skruszony gangster by Gabriela Jatkowska,, Of the Flame, Poems - Volume 15 by Wendy E. Slater,, L'estate che resta by Giulia Baldelli,, The World According to Garp by John Irving",3.89,173513,57715,61758,36592,12237,5211,8240,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479774440l/256566._SY475_.jpg,"With only a yellowing photograph in hand, a young man -- also named Jonathan Safran Foer -- sets out to find the woman who may or may not have saved his grandfather from the Nazis. Accompanied by an old man haunted by memories of the war; an amorous dog named Sammy Davis, Junior, Junior; and the unforgettable Alex, a young Ukrainian translator who speaks in a sublimely but"
134,The Executioner's Song,Norman Mailer,,,,October,30,1979,1056,"True Crime, Nonfiction, Crime, Biography, Classics, History, Literature, Mystery, American, Journalism","Shot in the Heart by Mikal Gilmore,, Rabbit Is Rich (Rabbit Angstrom, #3) by John Updike,, The Mambo Kings Play Songs of Love by Oscar Hijuelos,, Ironweed by William  Kennedy,, Humboldt's Gift by Saul Bellow,, Fatal Vision by Joe McGinniss,, Elbow Room by James Alan McPherson,, Lost in Yaba: Down and Out in Laos by Walt Gleeson,, The Stories of John Cheever by John Cheever,, The Onion Field by Joseph Wambaugh,, Rabbit Redux by John Updike,, A Summons to Memphis by Peter Taylor,, Advise and Consent (Advise and Consent, #1) by Allen Drury,, Honey in the Horn by H.L. Davis,, Andersonville by MacKinlay Kantor,, In This Our Life by Ellen Glasgow,, The Shipping News by Annie Proulx,, Martin Dressler: The Tale of an American Dreamer by Steven Millhauser",4.06,19863,7700,7377,3480,918,388,1400,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325755176l/12468.jpg,"In what is arguably his greatest work, America's most heroically ambitious writer follows the short, blighted career of Gary Gilmore, an intractably violent product of America's prisons who became notorious for two reasons: first, for robbing two men in 1976, then killing them in cold blood; and, second, after being tried and convicted, for insisting on dying for his crime"
135,Extravagance,Gary Krist,,,,January,1,2002,304,"Fiction, Historical Fiction, Historical, Contemporary, 17th Century, Literature, Adult Fiction","A Streetcar Named Desire by Tennessee Williams,, How to Disappear Completely and Never Be Found by Sara Nickerson,, What Ever Happened to Baby Jane? by Henry Farrell,, Sacred Time by Ursula Hegi,, Empire Falls by Richard Russo,, Encyclopedia Brown, Boy Detective (Encyclopedia Brown, #1) by Donald J. Sobol,, Emily's Good Nightmares (Emily the Strange Graphic Novels, #3) by Rob Reger,, Eloise by Kay Thompson,, Fiddler on the Roof by Joseph Stein,, Fletch (Fletch, #1) by Gregory McDonald,, The Fall of the Athenian Empire by Donald Kagan,, Novels, 1930-1942: Dance Night / Come Back to Sorrento / Turn, Magic Wheel / Angels on Toast / A Time to Be Born by Dawn Powell,, The  Official Fahrenheit 9/11 Reader by Michael Moore,, Rick Steves' Europe Through the Back Door by Rick Steves,, Fear and Loathing in Las Vegas by Hunter S. Thompson,, Redefining Realness: My Path to Womanhood, Identity, Love & So Much More by Janet Mock,, A Month of Sundays: Searching for the Spirit and My Sister by Julie Mars,, The Song Reader by Lisa Tucker",3.47,828,235,186,230,91,86,19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369860010l/72716.jpg,"William Tobias Merrick, an energetic young man from the provinces, travels to the big city in a time of great optimism and ferment, hoping to make his mark on a frenzied, money-crazed society obsessed with the promise of new technologies.The city in question is London in the 1690s; but it is also New York in the 1990s. The new technologies are diving bells, pneumatic winc"
136,Fahrenheit 451,Ray Bradbury,,,,October,13,1953,194,"Classics, Fiction, Science Fiction, Dystopia, School, Literature, Novels, Fantasy, Audiobook, Adult","1984 by George Orwell,, Animal Farm by George Orwell,, Brave New World by Aldous Huxley,, The Great Gatsby by F. Scott Fitzgerald,, Lord of the Flies by William Golding,, To Kill a Mockingbird by Harper Lee,, The Catcher in the Rye by J.D. Salinger,, Of Mice and Men by John Steinbeck,, The Giver (The Giver, #1) by Lois Lowry,, Romeo and Juliet by William Shakespeare,, The Hunger Games (The Hunger Games, #1) by Suzanne Collins,, The Metamorphosis by Franz Kafka,, Slaughterhouse-Five by Kurt Vonnegut Jr.,, The Little Prince by Antoine de Saint-Exupéry,, The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1) by Douglas Adams,, The Hobbit by J.R.R. Tolkien,, The Picture of Dorian Gray by Oscar Wilde,, The Outsiders by S.E. Hinton",3.98,2021120,734164,721710,402956,113024,49266,59106,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290l/13079982.jpg,"Sixty years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they ar"
137,The  Official Fahrenheit 9/11 Reader,Michael Moore,,,,March,28,2005,384,"Nonfiction, Politics, War, History, The United States Of America, Sociology, Humor, Media Tie In, Conspiracy Theories, American","Stupid White Men by Michael Moore,, Dude, Where's My Country? by Michael Moore,, Downsize This! by Michael Moore,, The Alchemist by Paolo Coehlo,, Montessori From the Start: 11 Montessori Home Activities for Infants and Toddlers That Boost Learning and Development (Montessori, Montessori From the ... Montessori at Home, Montessori Activities) by Felicity Bauer,, Adventures in a TV Nation by Michael Moore,, Supernatural Business: 12 Practical Strategies For Bigger Profits & Greater Influence by Wez Hone,, Haagse Talen by Ingrid Tieken-Boon van Ostade,, Storie incredibili: 12 racconti di Edgard Allan Poe - con annotazioni illustrate by Edgar Allan Poe,, One Child by Torey L. Hayden,, The Tiger's Child: What Ever Happened to Sheila? by Torey L. Hayden,, È una vita che ti aspetto by Fabio Volo,, Tritacarne. Perché ciò che mangiamo può salvare la nostra vita. E il nostro mondo by Giulia Innocenzi,, Follow Your Heart by Susanna Tamaro,, Padre padrone by Gavino Ledda,, Awakenings by Oliver Sacks,, Métaphysique des tubes by Amélie Nothomb",3.71,1485,397,512,393,110,73,30,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347807496l/91544.jpg,"From the Oscar and Emmy-winning director of Fahrenheit 9/11 comes the official guide to the film, including the complete screenplay of the 2004 Cannes Film Festival Best Picture Award winner.The Cannes Film Festival jury voted unanimously to award the 2004 Best Picture Award to Michael Moore and Fahrenheit 9/11. Since then, it has gone on to smash all box office records f"
138,The Fall of the Athenian Empire,Donald Kagan,4,The Peloponnesian War,5,,19,1987,480,"History, Nonfiction, Greece, Classics, Ancient History, Military History, Ancient, Politics, War","Empire Falls by Richard Russo,, I Alone Can Fix It: Donald J. Trump's Catastrophic Final Year by Carol Leonnig,, The Flowers of Evil, Vol. 1 by Shūzō Oshimi,, A People Betrayed: A History of Corruption, Political Incompetence and Social Division in Modern Spain by Paul Preston,, The Seven Storey Mountain by Thomas Merton,, Fletch (Fletch, #1) by Gregory McDonald,, Letters to Judy by Judy Blume,, Fiddler on the Roof by Joseph Stein,, Henry IV, Part 2 by William Shakespeare,, King Henry IV, Part 1 by William Shakespeare,, Henry V by William Shakespeare,, Shojo FIGHT! Vol. 4 by Yōko Nihonbashi,, ヴィンランド・サガ 21 (Vinland Saga, #21) by Makoto Yukimura,, ヴィンランド・サガ 22 (Vinland Saga, #22) by Makoto Yukimura,, The Fortress of Solitude by Jonathan Lethem,, Emerald Blaze (Hidden Legacy, #5) by Ilona Andrews,, Soldiers Live (The Chronicles of the Black Company, #9) by Glen Cook,, The Golden Spur by Dawn Powell",4.08,236,115,63,34,11,13,7,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349078487l/724925.jpg,"In the fourth and final volume of his magisterial history of the Peloponnesian War, Donald Kagan examines the period from the destruction of Athens' Sicilian expedition in September of 413 B.C. to the Athenian surrender to Sparta in the spring of 404 B.C. Through his study of this last decade of the war, Kagan evaluates the performance of the Athenian democracy as it faced"
